ticker,fomc_date,year,entry_offset,exit_offset,entry_date,exit_date,strike,expiry,dte_at_entry,dte_at_exit,exit_iv_reliable,moneyness_at_entry,call_ticker,put_ticker,stock_entry,stock_exit,stock_move,entry_call_mid,entry_call_iv,entry_call_delta,entry_put_mid,entry_put_iv,entry_put_delta,entry_straddle_mid,entry_atm_iv,entry_price_source,exit_call_mid,exit_call_iv,exit_put_mid,exit_put_iv,exit_straddle_mid,exit_atm_iv,exit_price_source,pnl_per_straddle,pnl_pct,iv_change
QQQ,2020-01-29,2020,-3,0,2020-01-24,2020-01-29,215.0,2020-02-07,14,9,True,1.000511889804086,O:QQQ200207C00215000,O:QQQ200207P00215000,214.89,214.03,-0.004002047559216275,10.3422,0.6079509697719812,0.5284262527511564,1.0532,0.0714274667232335,-0.4572181560690084,11.3954,0.33968921824760734,vwap+vwap,8.3423,0.6475905838170946,1.0984,0.051328933536291116,9.4407,0.3494597586766928,vwap+vwap,-1.9547000000000008,-0.17153412780595684,0.009770540429085484
QQQ,2020-01-29,2020,-3,1,2020-01-24,2020-01-30,215.0,2020-02-07,14,8,True,1.000511889804086,O:QQQ200207C00215000,O:QQQ200207P00215000,214.89,214.79,-0.0004653543673507112,10.3422,0.6079509697719812,0.5284262527511564,1.0532,0.0714274667232335,-0.4572181560690084,11.3954,0.33968921824760734,vwap+vwap,7.9597,0.6269201441779139,1.1695,0.09322160270330307,9.129199999999999,0.36007087344060845,vwap+vwap,-2.2662000000000013,-0.1988697193604438,0.020381655193001114
QQQ,2020-01-29,2020,-3,2,2020-01-24,2020-01-31,215.0,2020-02-07,14,7,True,1.000511889804086,O:QQQ200207C00215000,O:QQQ200207P00215000,214.89,211.39,-0.016287402857275816,10.3422,0.6079509697719812,0.5284262527511564,1.0532,0.0714274667232335,-0.4572181560690084,11.3954,0.33968921824760734,vwap+vwap,6.2598,0.6668097996578515,1.3669,,7.6267000000000005,0.6668097996578515,vwap+vwap,-3.7687,-0.33072116819067343,0.32712058141024414
QQQ,2020-01-29,2020,-3,3,2020-01-24,2020-02-03,215.0,2020-02-07,14,4,True,1.000511889804086,O:QQQ200207C00215000,O:QQQ200207P00215000,214.89,214.58,-0.0014425985387871649,10.3422,0.6079509697719812,0.5284262527511564,1.0532,0.0714274667232335,-0.4572181560690084,11.3954,0.33968921824760734,vwap+vwap,7.2647,0.8273691833632291,0.5663,0.04428068570125103,7.831,0.43582493453224,vwap+vwap,-3.5644,-0.31279288133808375,0.09613571628463269
QQQ,2020-01-29,2020,-1,0,2020-01-28,2020-01-29,213.5,2020-02-07,10,9,True,0.9991576188693373,O:QQQ200207C00213500,O:QQQ200207P00213500,213.68,214.03,0.0016379633096218378,8.2629,0.5697556504867225,0.5281407580390329,1.0175,0.08795568240219352,-0.4367383288551443,9.2804,0.328855666444458,vwap+vwap,9.28,0.6639003485166431,0.9937,0.10115944968369603,10.2737,0.3825298991001696,vwap+vwap,0.9932999999999996,0.10703202448170333,0.053674232655711585
QQQ,2020-01-29,2020,-1,1,2020-01-28,2020-01-30,213.5,2020-02-07,10,8,True,0.9991576188693373,O:QQQ200207C00213500,O:QQQ200207P00213500,213.68,214.79,0.005194683639086415,8.2629,0.5697556504867225,0.5281407580390329,1.0175,0.08795568240219352,-0.4367383288551443,9.2804,0.328855666444458,vwap+vwap,11.0,0.8092542923576833,1.0157,0.13199933375734085,12.0157,0.4706268130575121,vwap+vwap,2.7353000000000005,0.2947394508857377,0.14177114661305407
QQQ,2020-01-29,2020,-1,2,2020-01-28,2020-01-31,213.5,2020-02-07,10,7,True,0.9991576188693373,O:QQQ200207C00213500,O:QQQ200207P00213500,213.68,211.39,-0.010716959940097437,8.2629,0.5697556504867225,0.5281407580390329,1.0175,0.08795568240219352,-0.4367383288551443,9.2804,0.328855666444458,vwap+vwap,7.7893,0.7429441383070946,1.0105,,8.7998,0.7429441383070946,vwap+vwap,-0.4806000000000008,-0.05178656092409818,0.4140884718626366
QQQ,2020-01-29,2020,0,0,2020-01-29,2020-01-29,214.0,2020-02-21,23,23,True,0.9998598327337289,O:QQQ200221C00214000,O:QQQ200221P00214000,214.03,214.03,0.0,9.8867,0.4457948524582237,0.5340012606281697,1.515,0.08625613080213962,-0.4353535208502677,11.4017,0.26602549163018163,vwap+vwap,9.8867,0.4457948524582237,1.515,0.08625613080213962,11.4017,0.26602549163018163,vwap+vwap,0.0,0.0,0.0
QQQ,2020-01-29,2020,0,1,2020-01-29,2020-01-30,214.0,2020-02-21,23,22,True,0.9998598327337289,O:QQQ200221C00214000,O:QQQ200221P00214000,214.03,214.79,0.003550904078867406,9.8867,0.4457948524582237,0.5340012606281697,1.515,0.08625613080213962,-0.4353535208502677,11.4017,0.26602549163018163,vwap+vwap,9.2759,0.4076165204933285,2.0514,0.1292049195575416,11.327300000000001,0.2684107200254351,vwap+vwap,-0.07439999999999891,-0.006525342712051616,0.002385228395253458
QQQ,2020-01-29,2020,0,2,2020-01-29,2020-01-31,214.0,2020-02-21,23,21,True,0.9998598327337289,O:QQQ200221C00214000,O:QQQ200221P00214000,214.03,211.39,-0.012334719431855417,9.8867,0.4457948524582237,0.5340012606281697,1.515,0.08625613080213962,-0.4353535208502677,11.4017,0.26602549163018163,vwap+vwap,8.5934,0.47070757733502994,2.3114,0.050051606254220005,10.904800000000002,0.260379591794625,vwap+vwap,-0.49689999999999834,-0.043581220344334475,-0.005645899835556634
